UMAP 1,UMAP 2,UMAP 3
10.523911,17.92591,-7.266898
-10.176808,-6.8265147,-2.1642177
16.764872,9.804003,-1.4700671
10.929691,-11.2061205,-3.3018196
10.775131,-11.148763,-3.181488
10.674404,-11.190027,-3.1023324
10.808782,-11.123883,-3.2596657
10.864952,-11.353028,-3.2759912
-9.213329,9.858761,0.15027106
3.7516854,9.83419,-7.852419
-1.3320037,-5.457406,-3.377695
-5.4359345,15.120777,7.1315446
1.2409421,-4.1645904,-2.8141983
0.5513254,0.4569147,2.4513988
4.96373,-3.3508227,6.138907
0.3557694,0.24572432,4.035912
-2.8814716,-4.3780255,8.208313
10.522028,17.923965,-7.26981
11.825261,-3.6040413,3.1387577
17.05882,10.103835,-1.3557473
10.8017645,-11.216402,-3.5044875
10.772974,-11.082154,-3.197622
10.796899,-10.985078,-3.0381243
10.729626,-11.006398,-3.0768714
10.847193,-11.244452,-3.4013247
-8.991015,10.011253,0.7067979
-11.365571,-2.669385,3.732819
-11.349002,-2.7240942,3.6902566
16.67613,-8.366266,-10.848535
-6.3138046,-5.796705,7.1241755
8.339756,-2.1963038,12.805742
-5.468214,11.48729,-15.129057
16.18115,5.135352,-4.838666
1.2008557,-15.175739,1.2744372
-4.128875,-11.396036,-7.822767
11.234823,-16.70297,6.185579
19.54634,-6.5932374,4.2914915
10.1128,-13.298771,-9.848521
-5.3238177,17.326221,-7.9047766
-5.530914,17.476273,-7.9697924
-5.307507,17.342339,-7.986112
13.586793,17.844389,-15.915276
-9.084023,9.949423,0.3188601
5.8597383,-2.03658,1.3330836
1.5724511,8.955807,-8.446129
-10.175829,-6.8222723,-2.1655617
-6.640363,-0.3067383,-14.679944
10.976178,-11.024797,-3.3869343
10.819032,-11.198704,-3.5565507
10.935777,-11.085159,-3.3023732
10.890312,-11.263242,-3.1528015
8.704571,14.410239,4.1110306
8.738552,13.372084,2.9289181
9.3449,13.132199,3.4868176
8.345587,14.166103,3.550729
8.896118,13.783575,2.8340247
8.91181,14.155183,3.9739983
9.438071,13.618182,2.7824395
9.06646,14.579741,4.0054793
-9.233838,10.000054,0.78171057
-9.306024,5.671751,-8.085901
0.45848843,1.6985766,7.7363787
-5.4342093,15.123477,7.129388
-2.8518906,4.6353183,1.6718023
-1.999291,-4.363451,1.3376746
8.099725,-0.82338244,-0.9245822
-1.9992857,-4.363446,1.337698
4.963801,-3.3508086,6.138928
0.35639328,0.25312957,4.037711
-2.8930836,-4.3897166,8.196685
10.502227,17.904232,-7.288743
11.843594,-3.6222825,3.120627
17.054262,10.099273,-1.360856
10.660802,-11.021595,-3.3721323
10.949501,-11.067929,-3.5159173
10.871887,-11.065166,-3.3452642
-9.161779,10.264924,0.22917503
-4.288552,5.1067796,11.899919
8.58962,1.9617682,7.120337
4.606876,-0.770849,14.842456
4.9781814,5.00613,-2.8907197
-10.909888,6.572021,13.908081
-2.762053,-11.441129,5.4098873
19.29931,3.9226663,9.445291
1.7134675,-8.610402,14.007151
-11.0565405,-8.076741,-2.6402926
-1.6404151,10.597575,16.91779
